,Unnamed: 0,Incident_Num,Incident_Type,Precinct,Sector,Beat,Officer_ID,Subject_ID,Subject_Race,Subject_Gender,date,count,race_weights,pop,weight_count
9779,10257,47765,1,West,QUEEN,Q1,5001,20985,Black or African American,Male,2019-08-20 22:30:00,1.0,0.07,52.757,0.018954830638588244
9780,10258,47764,1,West,QUEEN,Q1,5116,20985,Black or African American,Male,2019-08-20 22:30:00,1.0,0.07,52.757,0.018954830638588244
9781,10263,46940,2,West,KING,K1,1750,4885,Black or African American,Male,2019-07-30 02:00:00,1.0,0.07,52.757,0.018954830638588244
9782,10264,46948,2,West,KING,K1,5061,4885,Black or African American,Male,2019-07-30 01:54:00,1.0,0.07,52.757,0.018954830638588244
9783,10265,46939,1,West,KING,K1,1889,4885,Black or African American,Male,2019-07-30 02:10:00,1.0,0.07,52.757,0.018954830638588244
9784,10266,48365,1,West,MARY,M3,183,7364,White,Male,2019-09-03 17:15:00,1.0,0.68,512.499,0.0019512233194601354
9785,10267,47391,2,South,ROBERT,R2,1796,15028,Black or African American,Male,2019-08-09 12:40:00,1.0,0.07,52.757,0.018954830638588244
9786,10268,47862,1,West,MARY,M3,4764,21014,Black or African American,Male,2019-08-24 13:49:00,1.0,0.07,52.757,0.018954830638588244
9787,10269,47859,1,West,MARY,M3,1814,21014,Black or African American,Male,2019-08-24 13:49:00,1.0,0.07,52.757,0.018954830638588244
9788,10270,47861,1,West,MARY,M3,2307,21014,Black or African American,Male,2019-08-24 13:50:00,1.0,0.07,52.757,0.018954830638588244
9789,10271,47937,1,West,DAVID,D2,1786,21036,White,Male,2019-08-26 20:30:00,1.0,0.68,512.499,0.0019512233194601354
9791,10273,48499,1,South,SAM,S3,1749,21188,Black or African American,Male,2019-09-13 01:50:00,1.0,0.07,52.757,0.018954830638588244
9792,10274,46974,2,West,QUEEN,Q3,2310,20744,White,Female,2019-07-30 17:10:00,1.0,0.68,512.499,0.0019512233194601354
